Date,Temperature,Humidity,Precipitation,WindSpeed,AirQualityIndex,City,Season,Event,Year
2000-01-31,8.73,64.2,30.94,2.53,327,CityD,Autumn,Snow,2000
2000-02-29,37.54,8.41,270.77,4.18,126,CityA,Autumn,None,2000
2000-03-31,26.6,16.16,151.58,2.66,105,CityC,Summer,None,2000
2000-04-30,19.93,89.86,247.94,1.33,496,CityD,Autumn,Snow,2000
2000-05-31,-2.2,60.64,96.01,1.81,91,CityA,Summer,Storm,2000
2000-06-30,-2.2,0.92,268.66,6.91,286,CityD,Winter,Rain,2000
2000-07-31,-7.1,10.15,116.76,3.1,377,CityB,Winter,None,2000
2000-08-31,33.31,66.35,3.25,5.46,392,CityB,Summer,None,2000
2000-09-30,20.06,0.51,271.61,7.55,50,CityA,Winter,Snow,2000
2000-10-31,25.4,16.08,27.39,10.36,28,CityC,Spring,Rain,2000
2000-11-30,-8.97,54.87,95.79,0.59,461,CityA,Autumn,Snow,2000
2000-12-31,38.5,69.19,285.02,11.99,295,CityD,Spring,Rain,2000
2001-01-31,31.62,65.2,285.18,9.42,296,CityC,Autumn,Rain,2001
2001-02-28,0.62,22.43,172.03,1.23,213,CityB,Winter,Rain,2001
2001-03-31,-0.91,71.22,189.55,13.1,266,CityC,Spring,None,2001
2001-04-30,-0.83,23.72,134.53,13.81,406,CityB,Winter,Storm,2001
2001-05-31,5.21,32.54,87.96,0.92,256,CityC,Autumn,Snow,2001
2001-06-30,16.24,74.65,98.6,4.15,301,CityC,Summer,Storm,2001
2001-07-31,11.6,64.96,201.76,12.09,100,CityC,Summer,Snow,2001
2001-08-31,4.56,84.92,225.71,11.22,404,CityD,Spring,Rain,2001
2001-09-30,20.59,65.76,237.47,2.77,345,CityD,Winter,None,2001
2001-10-31,-3.03,56.83,236.89,3.14,109,CityA,Winter,Storm,2001
2001-11-30,4.61,9.37,27.36,5.56,419,CityA,Spring,None,2001
2001-12-31,8.32,36.77,148.33,7.27,181,CityB,Summer,Snow,2001
2002-01-31,12.8,26.52,17.27,9.27,470,CityD,Autumn,None,2002
2002-02-28,29.26,24.4,164.86,5.53,312,CityB,Spring,None,2002
2002-03-31,-0.02,97.3,132.46,6.94,0,CityA,Autumn,Storm,2002
2002-04-30,15.71,39.31,266.31,11.21,318,CityB,Summer,Rain,2002
2002-05-31,19.62,89.2,105.27,0.55,437,CityA,Winter,None,2002
2002-06-30,-7.68,63.11,35.12,3.79,54,CityD,Summer,Rain,2002
2002-07-31,20.38,79.48,42.9,10.7,370,CityC,Spring,Snow,2002
2002-08-31,-1.47,50.26,228.45,13.43,423,CityD,Winter,None,2002
2002-09-30,-6.75,57.69,185.47,7.68,398,CityB,Spring,Storm,2002
2002-10-31,37.44,49.25,30.34,7.98,148,CityB,Spring,Snow,2002
2002-11-30,38.28,19.52,25.23,1.61,430,CityD,Summer,Snow,2002
2002-12-31,30.42,72.25,210.29,6.71,456,CityD,Spring,Storm,2002
2003-01-31,5.23,28.08,21.83,7.99,308,CityA,Summer,None,2003
2003-02-28,-5.12,2.43,246.56,3.64,136,CityB,Winter,None,2003
2003-03-31,24.21,64.55,211.87,4.04,201,CityB,Summer,Snow,2003
2003-04-30,12.01,17.71,24.4,5.66,435,CityD,Winter,None,2003
2003-05-31,-3.9,94.05,25.45,0.3,312,CityC,Summer,Rain,2003
2003-06-30,14.76,95.39,295.99,4.83,116,CityB,Autumn,Storm,2003
2003-07-31,-8.28,91.49,112.28,3.17,153,CityC,Autumn,Rain,2003
2003-08-31,35.47,37.02,111.19,4.91,424,CityD,Spring,None,2003
2003-09-30,2.94,1.55,243.84,1.8,290,CityD,Summer,Snow,2003
2003-10-31,23.13,92.83,284.17,13.36,62,CityA,Summer,Storm,2003
2003-11-30,5.59,42.82,295.8,8.9,243,CityB,Winter,None,2003
2003-12-31,16.0,96.67,226.01,10.19,24,CityC,Spring,None,2003
2004-01-31,17.34,96.36,112.88,11.84,89,CityA,Summer,Snow,2004
2004-02-29,-0.76,85.3,25.05,7.48,74,CityB,Spring,Snow,2004
2004-03-31,38.48,29.44,233.14,1.3,293,CityA,Autumn,Rain,2004
2004-04-30,28.76,38.51,167.52,8.06,385,CityD,Summer,Storm,2004
2004-05-31,36.97,85.11,127.27,8.8,390,CityB,Summer,Storm,2004
2004-06-30,34.74,31.69,271.91,11.18,209,CityA,Spring,Snow,2004
2004-07-31,19.89,16.95,33.36,6.47,474,CityA,Summer,Rain,2004
2004-08-31,36.09,55.68,147.79,1.91,417,CityC,Spring,Storm,2004
2004-09-30,-5.58,93.62,3.41,4.26,346,CityA,Summer,Snow,2004
2004-10-31,-0.2,69.6,140.6,5.45,16,CityB,Winter,None,2004
2004-11-30,-7.74,57.01,16.89,9.69,127,CityB,Spring,Storm,2004
2004-12-31,6.27,9.72,35.65,8.56,426,CityC,Summer,Rain,2004
2005-01-31,9.43,61.5,35.26,5.34,442,CityB,Autumn,Rain,2005
2005-02-28,3.57,99.01,194.76,14.8,363,CityD,Summer,Rain,2005
2005-03-31,31.44,14.01,223.81,9.09,250,CityB,Autumn,None,2005
2005-04-30,7.84,51.83,175.01,3.56,178,CityB,Autumn,Storm,2005
2005-05-31,4.05,87.74,288.65,1.53,181,CityA,Winter,Storm,2005
2005-06-30,17.13,74.08,112.46,2.29,151,CityA,Spring,None,2005
2005-07-31,-2.95,69.7,85.71,3.69,24,CityB,Summer,Storm,2005
2005-08-31,30.11,70.25,260.58,2.41,454,CityC,Winter,None,2005
2005-09-30,-6.27,35.95,67.08,2.8,179,CityA,Summer,None,2005
2005-10-31,39.34,29.36,288.97,4.28,197,CityC,Autumn,None,2005
2005-11-30,28.61,80.94,3.65,2.6,500,CityB,Spring,Rain,2005
2005-12-31,-0.06,81.01,290.96,13.45,343,CityB,Summer,Storm,2005
2006-01-31,-9.72,86.71,12.95,1.2,160,CityD,Summer,None,2006
2006-02-28,30.77,91.32,267.34,7.87,176,CityA,Autumn,Storm,2006
2006-03-31,25.34,51.13,158.31,6.16,284,CityB,Summer,Rain,2006
2006-04-30,26.45,50.15,297.89,14.74,62,CityD,Summer,None,2006
2006-05-31,28.56,79.83,22.14,1.68,490,CityA,Autumn,Snow,2006
2006-06-30,-6.3,65.0,166.16,5.97,149,CityB,Winter,Rain,2006
2006-07-31,7.92,70.2,290.79,14.54,153,CityB,Autumn,Snow,2006
2006-08-31,-4.21,79.58,156.93,12.98,155,CityA,Winter,Storm,2006
2006-09-30,33.16,89.0,188.82,12.26,369,CityA,Spring,Storm,2006
2006-10-31,21.16,33.8,208.72,3.87,468,CityA,Winter,Rain,2006
2006-11-30,6.54,37.56,136.36,2.56,48,CityB,Winter,Storm,2006
2006-12-31,-6.82,9.4,188.27,10.03,454,CityB,Spring,Snow,2006
2007-01-31,5.55,57.83,175.29,13.94,336,CityD,Winter,None,2007
2007-02-28,6.26,3.59,270.35,8.35,83,CityC,Autumn,None,2007
2007-03-31,26.48,46.56,13.63,8.57,360,CityA,Winter,None,2007
2007-04-30,21.88,54.26,84.29,4.2,176,CityB,Spring,Rain,2007
2007-05-31,34.36,28.65,285.12,11.54,147,CityB,Autumn,Storm,2007
2007-06-30,13.61,59.08,267.08,2.81,117,CityA,Spring,Snow,2007
2007-07-31,-4.02,3.05,136.7,4.86,341,CityC,Spring,Storm,2007
2007-08-31,25.66,3.73,186.04,6.38,475,CityA,Summer,Storm,2007
2007-09-30,28.04,82.26,83.21,7.61,62,CityC,Summer,Storm,2007
2007-10-31,18.06,36.02,56.44,3.64,188,CityB,Spring,None,2007
2007-11-30,28.55,12.71,139.11,1.72,359,CityC,Spring,Snow,2007
2007-12-31,14.69,52.22,106.01,9.16,48,CityD,Spring,Snow,2007
2008-01-31,16.14,77.0,175.1,4.33,326,CityB,Summer,Storm,2008
2008-02-29,11.38,21.58,23.32,8.72,256,CityD,Summer,None,2008
2008-03-31,-8.73,62.29,292.32,2.32,223,CityA,Winter,None,2008
2008-04-30,-4.61,8.53,295.86,7.22,140,CityA,Winter,Snow,2008
2008-05-31,-8.43,5.17,209.45,7.99,477,CityA,Spring,None,2008
2008-06-30,21.82,53.14,160.83,0.78,214,CityC,Autumn,None,2008
2008-07-31,5.72,54.06,92.86,5.05,434,CityB,Autumn,None,2008
2008-08-31,15.43,63.74,244.14,2.02,378,CityA,Summer,Rain,2008
2008-09-30,35.38,72.61,205.42,0.95,439,CityA,Summer,Storm,2008
2008-10-31,2.46,97.59,48.79,14.85,210,CityB,Summer,Snow,2008
2008-11-30,10.52,51.63,273.28,4.84,317,CityA,Spring,Snow,2008
2008-12-31,27.78,32.3,246.76,12.15,31,CityD,Autumn,Rain,2008
2009-01-31,1.44,79.52,284.94,3.82,157,CityB,Winter,Storm,2009
2009-02-28,-6.15,27.08,217.72,10.22,284,CityB,Spring,Snow,2009
2009-03-31,4.49,43.9,184.02,11.4,304,CityB,Winter,None,2009
2009-04-30,-1.94,7.85,125.47,8.93,428,CityD,Winter,Snow,2009
2009-05-31,36.48,2.54,279.82,7.07,476,CityB,Spring,None,2009
2009-06-30,30.41,96.26,259.82,6.18,285,CityD,Winter,Rain,2009
2009-07-31,21.67,83.6,13.57,5.23,143,CityB,Autumn,None,2009
2009-08-31,33.57,69.6,7.91,13.94,423,CityC,Winter,Snow,2009
2009-09-30,30.18,40.9,112.94,12.46,18,CityA,Autumn,Snow,2009
2009-10-31,-0.67,17.33,243.17,14.48,17,CityC,Autumn,Snow,2009
2009-11-30,34.63,15.64,296.18,1.86,256,CityA,Autumn,Rain,2009
2009-12-31,16.97,25.02,45.13,10.96,77,CityD,Summer,Rain,2009
2010-01-31,30.37,54.92,178.24,14.08,370,CityC,Winter,Storm,2010
2010-02-28,34.8,71.46,114.27,2.72,174,CityB,Spring,Snow,2010
2010-03-31,5.9,66.02,290.97,1.0,497,CityA,Spring,None,2010
2010-04-30,-4.5,27.99,252.64,11.12,193,CityA,Winter,Rain,2010
2010-05-31,1.4,95.49,251.5,8.62,475,CityC,Summer,Snow,2010
2010-06-30,11.36,73.79,140.61,12.63,112,CityD,Summer,Snow,2010
2010-07-31,30.9,55.44,124.45,2.1,113,CityC,Autumn,Rain,2010
2010-08-31,33.04,61.17,82.02,11.93,221,CityD,Winter,Storm,2010
2010-09-30,-9.65,41.96,16.91,3.02,165,CityD,Winter,Rain,2010
2010-10-31,15.54,24.77,259.42,2.45,434,CityA,Spring,Rain,2010
2010-11-30,10.87,35.6,243.87,2.46,318,CityC,Winter,None,2010
2010-12-31,1.11,75.78,299.92,12.22,131,CityC,Summer,None,2010
2011-01-31,-4.01,1.44,298.99,9.98,384,CityD,Winter,Storm,2011
2011-02-28,6.88,11.61,166.63,7.85,263,CityC,Spring,Snow,2011
2011-03-31,37.15,4.6,230.7,5.38,412,CityB,Autumn,Rain,2011
2011-04-30,6.16,4.07,283.43,13.16,54,CityB,Spring,Storm,2011
2011-05-31,15.94,85.55,254.89,5.89,358,CityC,Spring,None,2011
2011-06-30,25.15,70.37,74.2,12.25,130,CityC,Autumn,Rain,2011
2011-07-31,8.18,47.42,135.16,6.59,287,CityD,Spring,Snow,2011
2011-08-31,38.59,9.78,38.75,5.65,265,CityB,Spring,None,2011
2011-09-30,38.12,49.16,286.22,6.94,457,CityB,Winter,None,2011
2011-10-31,2.59,47.35,181.85,4.52,466,CityA,Winter,None,2011
2011-11-30,14.86,17.32,68.59,11.21,365,CityD,Autumn,Storm,2011
2011-12-31,5.04,43.39,201.51,7.54,161,CityA,Winter,Snow,2011
2012-01-31,4.24,39.85,185.44,3.48,379,CityB,Winter,Rain,2012
2012-02-29,-8.16,61.59,107.45,13.49,480,CityD,Spring,Storm,2012
2012-03-31,20.48,63.51,34.07,5.76,86,CityC,Summer,Storm,2012
2012-04-30,15.13,4.53,201.47,8.15,54,CityD,Winter,Storm,2012
2012-05-31,-7.43,37.46,156.09,13.6,475,CityC,Summer,None,2012
2012-06-30,3.93,62.59,231.7,9.36,287,CityC,Winter,Snow,2012
2012-07-31,35.41,50.31,156.05,1.75,177,CityD,Winter,Storm,2012
2012-08-31,1.98,85.65,255.65,14.1,390,CityC,Autumn,Rain,2012
2012-09-30,-2.76,65.87,165.57,9.42,348,CityA,Autumn,Snow,2012
2012-10-31,14.47,16.29,168.28,5.02,7,CityB,Autumn,Rain,2012
2012-11-30,39.28,7.06,263.0,2.09,320,CityC,Summer,Snow,2012
2012-12-31,2.1,64.24,121.04,11.91,312,CityA,Spring,Rain,2012
2013-01-31,23.61,2.65,40.2,9.3,246,CityC,Winter,None,2013
2013-02-28,28.08,58.58,8.63,8.0,322,CityB,Winter,Storm,2013
2013-03-31,1.88,94.02,226.54,13.41,471,CityA,Winter,Rain,2013
2013-04-30,26.41,57.55,186.09,11.83,470,CityB,Summer,Snow,2013
2013-05-31,8.39,38.82,211.22,2.28,442,CityB,Autumn,Storm,2013
2013-06-30,21.62,64.33,63.89,4.68,254,CityA,Spring,Storm,2013
2013-07-31,21.68,45.83,40.91,3.73,327,CityA,Summer,Snow,2013
2013-08-31,16.79,54.56,4.36,11.16,53,CityA,Autumn,Rain,2013
2013-09-30,-5.49,94.15,105.18,0.5,248,CityD,Summer,None,2013
2013-10-31,31.77,38.61,176.98,8.55,238,CityA,Spring,None,2013
2013-11-30,6.04,96.12,117.67,11.44,228,CityA,Autumn,Rain,2013
2013-12-31,-0.67,90.54,131.24,13.15,66,CityA,Summer,Storm,2013
2014-01-31,-7.96,19.58,271.25,5.13,50,CityA,Spring,Storm,2014
2014-02-28,19.54,6.94,104.48,12.32,96,CityC,Winter,Storm,2014
2014-03-31,23.88,10.08,154.2,1.66,91,CityD,Spring,Storm,2014
2014-04-30,-9.17,1.82,235.1,12.7,494,CityB,Winter,Rain,2014
2014-05-31,15.6,9.44,118.96,1.91,263,CityA,Summer,Storm,2014
2014-06-30,1.32,68.3,186.63,5.96,417,CityC,Autumn,Snow,2014
2014-07-31,22.26,7.12,258.71,11.96,290,CityC,Autumn,Storm,2014
2014-08-31,-1.28,31.9,284.86,2.25,95,CityC,Summer,None,2014
2014-09-30,24.55,84.49,44.12,3.44,87,CityB,Autumn,Storm,2014
2014-10-31,9.34,2.33,277.98,10.83,77,CityA,Autumn,Rain,2014
2014-11-30,36.84,81.45,147.63,10.8,287,CityD,Winter,None,2014
2014-12-31,-3.12,28.19,77.47,9.62,119,CityD,Summer,Rain,2014
2015-01-31,7.05,11.82,137.74,10.41,301,CityC,Spring,Rain,2015
2015-02-28,-4.33,69.67,294.01,8.14,490,CityB,Winter,None,2015
2015-03-31,36.23,62.89,147.79,3.78,399,CityB,Summer,Rain,2015
2015-04-30,33.87,87.75,98.63,5.19,451,CityB,Winter,Rain,2015
2015-05-31,2.9,73.51,190.02,2.72,499,CityD,Spring,Storm,2015
2015-06-30,23.0,80.35,72.04,13.63,164,CityC,Spring,Snow,2015
2015-07-31,30.86,28.2,22.76,8.75,181,CityA,Summer,Rain,2015
2015-08-31,17.76,17.74,38.66,6.01,468,CityD,Spring,Rain,2015
2015-09-30,16.48,75.06,38.41,6.93,397,CityC,Winter,Rain,2015
2015-10-31,2.09,80.68,45.57,14.21,222,CityC,Spring,Storm,2015
2015-11-30,-5.34,99.05,41.65,2.3,310,CityA,Winter,Snow,2015
2015-12-31,34.86,41.26,192.26,8.79,431,CityA,Winter,None,2015
2016-01-31,35.02,37.2,54.56,7.59,465,CityA,Spring,Storm,2016
2016-02-29,21.66,77.64,103.7,9.17,6,CityB,Summer,Storm,2016
2016-03-31,6.95,34.08,269.04,0.27,329,CityA,Autumn,Snow,2016
2016-04-30,7.46,93.08,142.19,13.08,262,CityC,Spring,Snow,2016
2016-05-31,26.3,85.84,200.27,13.98,160,CityA,Winter,Storm,2016
2016-06-30,34.86,42.9,51.7,8.48,150,CityC,Winter,None,2016
2016-07-31,34.35,75.09,57.69,10.45,84,CityD,Spring,Storm,2016
2016-08-31,28.99,75.45,12.26,13.84,146,CityB,Summer,Snow,2016
